Wallet,TGE
0xcEd183f3eFe63C054f36BC2d701cFE4631e61f1A,151986.67
0xAA61A58830996a2b54902bAC0913641ccD362828,76462.00
0x72915ad3110Eb31768A562F540aC1ebcd51d3Dc8,74460.00
0x655348406993E18b662486aC66142837216A7d59,74316.67
0x3c687ddbe2860c92d1b934dfc1881de83ab08eeb,78037.67
0xd706509e6c56e07a9325d1dd59424e2f3416d023,78037.67
0x879c405922ffb8251bddf7df06e02a58b10837f3,74428.71
0x96461bfc931bc262135e569f3500c5ebe0374e57,74428.71
0x7848e1d2d6046c5e75a98268afbec4e0c5b2bbe0,74428.71
0x6c76f96cb0efae14df3bc1d1af9372e6cfac64e1,74428.71
0xaF03d3683628dC6619BccBb2b907ae85c6de75B9,75083.00
0x61e458356c8170688DE7B1eA229AFc6Ee7BA52B0,75100.00
0xFf07a37E84d9E25C4c799d0AAE79eEC636A0ecbD,92987.50
